GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US18001,18001,"Adams County, Indiana",12164,246,8608,312,7106,275,3556,280,6.4,1.7,3.9,1.6,1.8,0.9,13.2,4.7,3.8,1.1,1.7,0.8,0.9,0.6,9.8,3.2,13.2,1.8,8.1,1.9,6.3,1.9,25.9,4.2,11.4,1.9,9.1,1.8,8.6,2.2,18.0,4.4,16.7,2.1,16.3,2.3,15.1,2.3,17.1,4.1,24.0,2.3,29.9,2.9,31.3,2.8,9.3,2.8,12.0,1.8,14.8,2.2,17.1,2.5,3.4,2.0,9.0,1.4,11.8,1.8,13.6,2.1,1.7,1.5,1.7,0.7,2.2,0.9,2.7,1.1,0.3,0.4,1.9,0.8,2.2,0.9,2.7,1.1,1.2,1.1,47964,3031,57480,2674,62613,2695,25456,2373,59883,3706,68632,4737,,,36611,5625,29.1,,,,,,,,,,31.4,,,,,,,,,,,,23.2,
0500000US18003,18003,"Allen County, Indiana",139384,827,90813,1099,66582,1036,48571,1145,7.1,0.4,5.0,0.4,1.7,0.3,12.2,1.0,4.9,0.4,3.4,0.4,1.1,0.2,8.4,0.8,10.7,0.5,7.0,0.6,3.9,0.5,18.7,1.0,12.1,0.5,9.7,0.6,7.2,0.5,16.9,1.1,16.0,0.6,14.8,0.8,13.9,0.8,18.5,1.1,20.0,0.6,22.0,0.8,23.9,1.0,15.5,1.0,12.9,0.6,16.2,0.8,19.9,1.0,5.8,0.7,10.6,0.5,14.2,0.7,18.3,0.9,2.8,0.4,2.9,0.3,4.0,0.4,5.2,0.5,0.6,0.2,2.8,0.3,3.8,0.4,5.0,0.5,0.8,0.2,49124,652,60700,872,73308,1048,31185,713,64683,1020,76641,1422,89925,1791,39659,1250,22.2,,,,,,,,,,22.1,,,,,,,,,,,,20.9,
0500000US18005,18005,"Bartholomew County, Indiana",30516,418,20815,578,15940,543,9701,539,4.8,0.8,2.5,0.7,0.8,0.4,10.8,2.1,5.4,1.0,3.1,1.0,0.9,0.5,11.4,2.2,11.6,1.1,8.2,1.4,5.2,1.2,19.1,2.2,9.9,1.1,9.0,1.4,5.3,1.0,12.9,1.8,14.6,1.4,14.1,1.5,13.6,1.6,15.7,2.5,20.4,1.5,20.9,2.0,22.7,2.2,17.8,2.4,12.6,1.1,15.5,1.5,18.5,2.0,5.6,1.3,13.4,1.1,17.2,1.6,21.0,2.0,4.4,1.2,4.1,0.6,5.3,0.8,6.9,1.1,1.3,0.6,3.3,0.5,4.2,0.7,5.2,0.9,1.0,0.5,54488,2252,65677,1516,76628,2469,31276,1532,69198,1903,79923,2356,91257,2984,42820,2507,19.0,,,,,,,,,,19.3,,,,,,,,,,,,17.5,
0500000US18007,18007,"Benton County, Indiana",3464,91,2276,109,1711,106,1188,111,6.0,1.8,5.1,1.7,1.3,1.0,11.6,4.6,4.3,1.3,1.0,0.6,0.8,0.6,10.4,3.3,12.0,2.4,8.0,2.5,4.4,1.6,20.5,4.5,13.8,2.3,12.2,2.8,10.5,3.0,17.3,3.8,16.7,2.5,16.3,3.2,14.7,3.9,14.8,3.7,20.6,2.5,25.0,3.5,27.5,4.2,10.8,3.2,12.7,2.2,14.9,2.6,17.5,3.3,9.2,4.2,11.2,2.2,14.0,2.8,18.6,3.7,4.4,2.6,2.2,1.0,2.8,1.5,3.7,2.0,1.1,1.5,0.5,0.4,0.7,0.6,1.0,0.8,0.1,0.2,46909,2558,56682,2755,65425,3536,28021,2888,56562,2652,64169,3514,,,38911,4900,31.9,,,,,,,,,,32.3,,,,,,,,,,,,27.8,
0500000US18009,18009,"Blackford County, Indiana",5236,177,3640,197,2704,171,1596,172,7.1,1.8,4.6,1.9,1.8,2.2,13.8,3.9,6.3,1.7,4.9,2.2,1.2,1.1,12.0,4.0,16.0,2.7,8.6,2.0,7.7,2.3,32.9,6.5,13.5,2.3,11.2,2.5,9.4,2.6,21.4,6.4,20.2,2.7,25.9,3.3,26.8,4.0,7.5,3.2,19.8,3.3,23.9,3.7,26.7,4.3,6.3,3.9,8.2,1.7,10.2,2.5,11.9,3.1,3.3,2.2,6.2,1.5,8.2,2.0,11.1,2.7,0.6,0.7,1.8,1.0,1.7,1.1,2.3,1.5,1.9,2.0,0.9,0.6,0.9,0.8,1.2,1.1,0.4,0.7,39370,1840,46116,2165,52191,3249,22570,2014,50477,3738,55330,3110,,,30210,4342,30.7,,,,,,,,,,28.4,,,,,,,,,,,,34.1,
0500000US18011,18011,"Boone County, Indiana",22248,368,16532,476,13671,467,5716,386,4.0,0.8,2.4,1.0,1.3,0.8,8.9,2.5,2.9,0.8,1.1,0.6,0.3,0.3,9.0,2.9,6.8,1.2,3.7,1.1,3.0,1.1,16.7,3.3,8.1,1.2,5.6,1.1,3.9,1.0,14.6,3.3,14.9,1.7,14.5,1.8,12.5,1.9,17.0,3.7,18.6,2.0,18.4,1.9,18.0,2.0,19.2,4.7,13.6,1.5,15.5,2.0,16.4,2.1,6.6,1.8,13.6,1.4,16.5,1.8,18.7,2.0,4.5,1.6,7.3,1.0,9.3,1.3,10.6,1.5,1.6,1.4,10.2,1.1,13.0,1.4,15.2,1.6,1.9,1.2,67416,2814,80733,3309,91899,3391,35588,3561,101236,4266,118257,5516,,,49706,5462,24.7,,,,,,,,,,24.5,,,,,,,,,,,,24.3,
0500000US18013,18013,"Brown County, Indiana",5926,277,4158,269,3209,250,1768,236,7.8,1.9,4.1,1.7,0.7,0.7,17.9,5.2,4.0,1.6,3.3,2.0,1.2,0.9,7.9,4.2,10.4,2.6,8.0,2.5,6.7,2.7,17.3,6.5,11.0,2.1,10.7,2.9,9.1,2.8,10.5,3.8,13.3,2.2,12.0,2.5,10.7,2.5,17.7,5.5,21.3,2.8,22.2,3.7,24.7,4.5,15.5,4.8,12.4,2.7,14.8,3.5,17.4,4.2,6.5,3.1,13.3,2.6,16.5,3.1,19.6,3.8,4.4,3.4,4.2,1.6,5.2,2.1,6.0,2.6,1.6,1.7,2.3,0.9,3.0,1.3,3.9,1.6,0.6,1.0,53107,4103,61816,3731,70362,6973,31264,5353,67463,5298,77299,7042,,,41028,5369,29.6,,,,,,,,,,30.1,,,,,,,,,,,,27.6,
0500000US18015,18015,"Carroll County, Indiana",7828,198,5419,192,4537,203,2409,209,3.1,1.2,2.7,1.6,0.4,0.4,6.8,2.5,5.7,1.3,2.8,1.1,1.9,0.9,12.6,3.4,12.0,2.0,7.2,2.1,5.9,1.9,20.4,3.7,12.4,2.2,10.1,2.4,8.7,2.6,19.3,4.8,14.1,2.0,14.1,2.5,13.4,2.7,14.6,3.9,21.9,2.2,22.1,2.7,23.0,3.1,19.7,3.6,14.1,1.7,17.5,2.2,19.6,2.5,5.2,2.8,11.9,1.6,16.6,2.3,19.2,2.8,1.0,0.8,2.9,0.8,4.2,1.2,4.8,1.4,0.0,1.2,2.0,0.7,2.6,0.9,3.1,1.1,0.5,0.7,52806,3170,62163,2290,69596,4639,30210,3340,63015,2906,73933,4070,,,36672,2819,29.0,,,,,,,,,,27.9,,,,,,,,,,,,29.9,
0500000US18017,18017,"Cass County, Indiana",14759,268,9819,313,7571,299,4940,286,6.7,1.2,6.0,1.4,1.1,0.6,12.8,2.8,5.3,0.9,2.9,1.1,2.0,1.2,10.2,2.3,14.6,1.4,10.0,1.5,8.3,1.7,23.1,3.4,14.2,1.7,11.4,1.8,10.1,1.9,19.0,3.5,17.5,1.8,17.9,2.1,18.3,2.4,15.8,3.1,21.5,1.9,26.3,2.5,29.0,2.8,11.0,2.9,10.1,1.5,12.3,1.9,15.0,2.5,5.7,2.2,6.5,1.0,8.7,1.5,10.6,1.8,1.2,0.8,1.9,0.7,2.6,1.1,3.1,1.3,0.5,0.5,1.6,0.6,2.0,0.8,2.4,1.0,0.6,0.6,41356,1607,51498,2273,56724,2315,26585,1668,54793,2885,62660,3836,,,36269,4322,24.6,,,,,,,,,,22.8,,,,,,,,,,,,27.1,
0500000US18019,18019,"Clark County, Indiana",42774,640,28564,663,21065,770,14210,619,6.6,0.9,3.6,0.9,1.1,0.5,13.4,1.8,4.4,0.6,2.4,0.7,1.3,0.7,8.9,1.4,11.8,1.0,7.6,1.0,4.7,0.9,21.2,2.3,9.4,1.0,7.9,1.1,5.9,1.0,12.8,1.9,16.6,1.3,16.2,1.4,15.0,1.6,19.0,2.4,21.9,1.5,24.4,1.8,25.4,2.1,14.8,2.1,13.6,1.1,17.0,1.5,20.2,1.8,5.4,1.3,11.4,0.9,15.2,1.3,19.0,1.7,3.0,0.8,2.3,0.4,3.3,0.6,4.3,0.9,0.2,0.2,2.1,0.5,2.4,0.5,3.1,0.6,1.2,0.7,51182,1358,62653,1910,71802,1706,29316,2026,62668,1735,73348,2363,83285,2894,38410,1952,25.4,,,,,,,,,,26.9,,,,,,,,,,,,21.6,
0500000US18021,18021,"Clay County, Indiana",10221,292,7342,301,5845,307,2879,305,6.9,1.6,5.0,1.8,1.5,0.9,13.7,4.0,5.9,1.6,3.4,1.6,2.3,1.6,11.5,3.4,13.4,2.0,8.9,2.2,5.5,1.8,24.1,4.9,13.2,1.9,11.7,2.0,10.6,2.5,17.7,3.9,15.1,2.2,14.9,2.6,13.9,2.5,17.2,5.1,20.5,2.7,25.3,3.2,28.6,3.7,8.3,3.4,11.3,1.9,13.4,2.6,15.9,3.2,4.4,2.1,10.4,1.7,13.2,2.3,16.4,2.9,2.7,1.7,1.9,0.8,2.7,1.1,3.4,1.3,0.0,1.0,1.2,0.6,1.5,0.8,1.9,1.0,0.4,0.7,46228,1985,55651,3896,64025,1893,25358,3039,55530,2223,64007,3022,,,32134,3095,32.4,,,,,,,,,,34.5,,,,,,,,,,,,26.5,
0500000US18023,18023,"Clinton County, Indiana",11853,261,8297,300,6346,308,3556,307,5.1,1.2,3.3,1.2,1.5,1.0,10.7,3.2,5.2,1.0,3.0,1.1,1.0,0.6,9.6,2.3,12.7,1.9,8.5,1.9,5.4,1.7,23.8,3.6,11.1,1.5,9.6,1.9,9.2,1.9,15.2,3.2,16.2,2.1,15.2,2.3,14.3,2.5,18.6,3.6,21.5,2.4,25.0,2.8,26.9,3.3,13.3,4.0,13.8,1.8,17.1,2.3,18.7,2.7,4.1,2.0,10.4,1.5,12.9,1.9,16.1,2.5,4.3,1.9,2.5,0.8,3.4,1.2,4.4,1.5,0.3,0.4,1.4,0.6,2.0,0.9,2.5,1.1,0.0,0.8,49669,2435,58808,4177,67854,2584,28464,2395,58961,2150,67809,2597,,,36267,3036,34.1,,,,,,,,,,33.9,,,,,,,,,,,,33.8,
